,code,room,start_time,end_time,date,day_of_week
0,PSI3211,B2-05,07:30,09:00,2023-08-07,seg
1,PSI3442,B2-09,07:30,09:00,2023-08-07,seg
2,PEA3405,B2-10,07:30,08:20,2023-08-07,seg
3,PEA3406,B2-12,07:30,08:20,2023-08-07,seg
4,PCS3563/3863,B2-06,08:20,11:50,2023-08-07,seg
5,0323100,D1-04,08:20,10:50,2023-08-07,seg
6,PSI3472,B2-08,09:20,10:50,2023-08-07,seg
7,PSI3024,C1-05,09:20,10:50,2023-08-07,seg
8,PTC3213,CAEEL (Reunião),09:20,10:50,2023-08-07,seg
9,PTC3213,D1-01,09:20,10:50,2023-08-07,seg
10,PTC3213,D1-03,09:20,10:50,2023-08-07,seg
11,PEA3521,B2-09,11:10,12:40,2023-08-07,seg
12,PTC3361,CAEEL (Reunião),11:10,12:40,2023-08-07,seg
13,PTC3361,D1-01,11:10,12:40,2023-08-07,seg
14,PTC3361,D1-03,11:10,12:40,2023-08-07,seg
15,PSI3482,GD-03,11:10,12:40,2023-08-07,seg
16,PEA3417,B2-10,13:10,14:40,2023-08-07,seg
17,PEA3490,B2-12,13:10,14:40,2023-08-07,seg
18,MAC0122,C1-30,13:10,14:40,2023-08-07,seg
19,PCS3225,D1-01,13:10,14:40,2023-08-07,seg
20,PCS3225,D1-02,13:10,14:40,2023-08-07,seg
21,PCS3213,D1-03,13:10,14:40,2023-08-07,seg
22,PCS3225,D1-04,13:10,14:40,2023-08-07,seg
23,PEA3201,GD-06,13:10,14:40,2023-08-07,seg
24,PTC3449,B2-01,14:00,15:30,2023-08-07,seg
25,PCS3422,B2-08,14:00,15:30,2023-08-07,seg
26,PCS3746,B2-12,14:00,15:30,2023-08-07,seg
27,PSI3213,B2-04,15:00,16:30,2023-08-07,seg
28,PEA3414,B2-09,15:00,16:30,2023-08-07,seg
29,PEA3100,B2-12,15:00,16:30,2023-08-07,seg
30,PSI3213,C1-49,15:00,16:30,2023-08-07,seg
31,PSI3213,CAEEL (Defesa),15:00,16:30,2023-08-07,seg
32,4323102?,CAEEL (Reunião),15:00,16:30,2023-08-07,seg
33,PSI3213,D1-01,15:00,16:30,2023-08-07,seg
34,PEA3392,GD-03,15:00,16:30,2023-08-07,seg
35,PSI3483,CAEEL (Defesa),15:50,17:20,2023-08-07,seg
36,PCS3722,B2-01,16:00,17:30,2023-08-07,seg
37,PCS3722,B2-03,16:00,17:30,2023-08-07,seg
38,PCS3438,B2-06,16:00,17:30,2023-08-07,seg
39,PEA3550,B2-06,16:50,18:20,2023-08-07,seg
40,PSI3501,B2-09,16:50,18:20,2023-08-07,seg
41,PSI3502,CAEEL (Defesa),16:50,20:00,2023-08-07,seg
